doc_id	adu_id	char_offset	boundary_probability	after_terminal_punctuation	left_candidate_segment	right_candidate_segment	adu_text
micro_b001	a2	119	0.97029042	false	Drei verschiedene Müllbeutel müffeln in der Küche	und müssen in drei unterschiedliche Tonnen einsortiert werden.	Drei verschiedene Müllbeutel müffeln in der Küche und müssen in drei unterschiedliche Tonnen einsortiert werden.
micro_b001	a4	287	0.98697335	false	und zu viele Ressourcen gehen verloren,	wenn zusammen verbrannt wird, was getrennt eigentlich verwertet werden könnte.	und zu viele Ressourcen gehen verloren, wenn zusammen verbrannt wird, was getrennt eigentlich verwertet werden könnte.
micro_b001	a5	405	0.80905414	false	Wir Berliner sollten die Chance nutzen	und Vorreiter im Mülltrennen werden!	Wir Berliner sollten die Chance nutzen und Vorreiter im Mülltrennen werden!
micro_b002	a1	77	0.97196239	false	In Friedrichshain oder Neukölln kann man sich heutzutage nicht mehr bewegen,	ohne permanent den Boden nach Hundehaufen abzusuchen.	In Friedrichshain oder Neukölln kann man sich heutzutage nicht mehr bewegen, ohne permanent den Boden nach Hundehaufen abzusuchen.
micro_b002	a2	162	0.98611569	false	Und wenn man doch mal Pech hat	"und eine der vielen ""Tretminen"" trifft,"	"Und wenn man doch mal Pech hat und eine der vielen ""Tretminen"" trifft, muss man sich die stinkenden Hinterlassenschaften mühselig von der Sohle kratzen."
micro_b002	a2	202	0.99486333	false	"und eine der vielen ""Tretminen"" trifft,"	muss man sich die stinkenden Hinterlassenschaften mühselig von der Sohle kratzen.	"Und wenn man doch mal Pech hat und eine der vielen ""Tretminen"" trifft, muss man sich die stinkenden Hinterlassenschaften mühselig von der Sohle kratzen."
micro_b002	a5	519	0.98351514	false	aber wenn sie dann die Brieftasche zücken müssen,	wird ihnen die Faulheit schon vergehen!	aber wenn sie dann die Brieftasche zücken müssen, wird ihnen die Faulheit schon vergehen!
micro_b003	a5	388	0.97712839	false	Solange aber nicht klar ist, wieso es dazu kommt,	sollte das Geld besser für Behandlungen ausgegeben werden, bei denen man es mit Sicherheit weiss.	Solange aber nicht klar ist, wieso es dazu kommt, sollte das Geld besser für Behandlungen ausgegeben werden, bei denen man es mit Sicherheit weiss.
micro_b007	a2	172	0.60868305	false	Dadurch entsteht eine Unachtsamkeit im Straßenverkehr,	die vergleichbar mit einem Delikt der StVo ist.	Dadurch entsteht eine Unachtsamkeit im Straßenverkehr, die vergleichbar mit einem Delikt der StVo ist.
micro_b008	a1	33	0.91521138	false	Natürlich wäre es schön einfach,	"wenn ich nach einer feuchtfröhlichen Nacht mit der Disko-Bekanntschaft am nächsten Morgen nur noch ""die Pille danach"" nehmen muss"	"Natürlich wäre es schön einfach, wenn ich nach einer feuchtfröhlichen Nacht mit der Disko-Bekanntschaft am nächsten Morgen nur noch ""die Pille danach"" nehmen muss und dann beruhigt sein kann."
micro_b008	a1	163	0.96655178	false	"wenn ich nach einer feuchtfröhlichen Nacht mit der Disko-Bekanntschaft am nächsten Morgen nur noch ""die Pille danach"" nehmen muss"	und dann beruhigt sein kann.	"Natürlich wäre es schön einfach, wenn ich nach einer feuchtfröhlichen Nacht mit der Disko-Bekanntschaft am nächsten Morgen nur noch ""die Pille danach"" nehmen muss und dann beruhigt sein kann."
micro_b011	a3	182	0.78487897	false	aber einmal hineingetreten,	scheinen ihre Exkremente überaus hartnäckig an den Schuhsohlen zu haften.	aber einmal hineingetreten, scheinen ihre Exkremente überaus hartnäckig an den Schuhsohlen zu haften.
micro_b012	a3	300	0.52782643	false	"In der Tat ist es jedoch heute schon so, dass die Schüler auch vermeintlich ""Uniform-freier"" Schulen im Prinzip eine Uniform tragen,"	die aus bestimmten Markenklamotten besteht.	"In der Tat ist es jedoch heute schon so, dass die Schüler auch vermeintlich ""Uniform-freier"" Schulen im Prinzip eine Uniform tragen, die aus bestimmten Markenklamotten besteht."
micro_b012	a4	440	0.98969650	false	Ein einfach gestaltetes, praktisches Outfit würde das visuelle Gesamtbild der Schule beruhigen,	und den Fokus auf Charakter und Leistungen der Schüler - und nicht ihre Kaufkraft - lenken.	Ein einfach gestaltetes, praktisches Outfit würde das visuelle Gesamtbild der Schule beruhigen, und den Fokus auf Charakter und Leistungen der Schüler - und nicht ihre Kaufkraft - lenken.
micro_b013	a4	453	0.71846986	false	Ausserdem bieten viele niedergelassene Ärzte derlei Beratungen und Leistungen sowieso parallel an	-	Ausserdem bieten viele niedergelassene Ärzte derlei Beratungen und Leistungen sowieso parallel an -
micro_b014	a1	57	0.57032579	false	Eigentlich sollten nur die einen Rundfunkbeitrag zahlen,	die auch wirklich ARD, ZDF, Arte usw. gucken.	Eigentlich sollten nur die einen Rundfunkbeitrag zahlen, die auch wirklich ARD, ZDF, Arte usw. gucken.
micro_b014	a4	315	0.99980479	true	Wofür zahlt man dann noch?	Dass immer die gleichen Schauspieltruppen sich einen Lenz an exotischen Drehorten machen?	Wofür zahlt man dann noch? Dass immer die gleichen Schauspieltruppen sich einen Lenz an exotischen Drehorten machen?
micro_b015	a3	213	0.98883909	false	aber die haben dann eben innerhalb der Woche frei	und können in Ruhe Termine wahrnehmen,	aber die haben dann eben innerhalb der Woche frei und können in Ruhe Termine wahrnehmen, während ich im Büro sitze.
micro_b015	a3	252	0.96128553	false	und können in Ruhe Termine wahrnehmen,	während ich im Büro sitze.	aber die haben dann eben innerhalb der Woche frei und können in Ruhe Termine wahrnehmen, während ich im Büro sitze.
micro_b015	a5	368	0.98910964	false	und wie soll ich dass machen,	wenn die Geschäfte nicht offen sind,	und wie soll ich dass machen, wenn die Geschäfte nicht offen sind, wenn ich frei habe?
micro_b015	a5	405	0.97693324	false	wenn die Geschäfte nicht offen sind,	wenn ich frei habe?	und wie soll ich dass machen, wenn die Geschäfte nicht offen sind, wenn ich frei habe?
micro_b016	a1	101	0.99690324	false	Die Idee des Bachelorstudiums ist, die Gesamtnote aus zahlreichen Einzelleistungen zusammenzusetzen,	um die Endnote zu generieren.	Die Idee des Bachelorstudiums ist, die Gesamtnote aus zahlreichen Einzelleistungen zusammenzusetzen, um die Endnote zu generieren.
micro_b016	a2	183	0.76728481	false	Dies entspricht auch eher der späteren Arbeitswelt,	in der Leistung nicht singulär,	Dies entspricht auch eher der späteren Arbeitswelt, in der Leistung nicht singulär, sondern regelmäßig und über längere Zeit hinweg erbracht werden soll.
micro_b016	a2	215	0.95563716	false	in der Leistung nicht singulär,	sondern regelmäßig und über längere Zeit hinweg erbracht werden soll.	Dies entspricht auch eher der späteren Arbeitswelt, in der Leistung nicht singulär, sondern regelmäßig und über längere Zeit hinweg erbracht werden soll.
micro_b017	a4	296	0.92813343	false	aber dass Menschen mit gleichem Einkommen plötzlich mehr zahlen sollen	und nicht mehr in der selben Wohnung leben dürfen, scheint unplausibel.	aber dass Menschen mit gleichem Einkommen plötzlich mehr zahlen sollen und nicht mehr in der selben Wohnung leben dürfen, scheint unplausibel.
micro_b019	a2	109	0.90309358	false	Wer dies doch tut oder versucht,	sollte nach Möglichkeit zur Rechenschaft gezogen werden.	Wer dies doch tut oder versucht, sollte nach Möglichkeit zur Rechenschaft gezogen werden.
micro_b024	a3	245	0.99191189	false	Zudem ist ein hoher Luxusgrad (teure Wohnungen) für die Mehrheit der Menschen nicht notwendig,	sondern vielmehr eine Wohnung überhaupt.	Zudem ist ein hoher Luxusgrad (teure Wohnungen) für die Mehrheit der Menschen nicht notwendig, sondern vielmehr eine Wohnung überhaupt.
micro_b029	a4	382	0.96622002	false	Es ist jedoch nicht möglich, dies zu kontrollieren,	um differenzierte Gebühren zu erheben.	Es ist jedoch nicht möglich, dies zu kontrollieren, um differenzierte Gebühren zu erheben.
micro_b029	a5	480	0.66175014	false	Ebenso, wie andere Angebote der Kultur oder Infrastruktur,	sind auch die Öffentlich Rechtlichen Sender unabhängig davon zu finanzieren, ob der Einzelne dieses Angebot nutzt oder nicht.	Ebenso, wie andere Angebote der Kultur oder Infrastruktur, sind auch die Öffentlich Rechtlichen Sender unabhängig davon zu finanzieren, ob der Einzelne dieses Angebot nutzt oder nicht.
micro_b031	a4	296	0.85261303	false	Jedem muss die Gelegenheit gegeben werden, sein Gewissen zu schärfen	und seine Tat möglichst wieder gutzumachen.	Jedem muss die Gelegenheit gegeben werden, sein Gewissen zu schärfen und seine Tat möglichst wieder gutzumachen.
micro_b032	a4	245	0.97634637	false	Entsorgt man die Haufen selbst und sofort,	ist eine Geldbuße nicht erforderlich.	Entsorgt man die Haufen selbst und sofort, ist eine Geldbuße nicht erforderlich.
micro_b034	a4	257	0.98165268	false	Fehlt den Universitäten Geld,	muss nach Sponsoren gesucht werden.	Fehlt den Universitäten Geld, muss nach Sponsoren gesucht werden.
micro_b035	a2	158	0.91506922	false	die häufig preiswerter als Medikamente der Schulmedizin sind,	die ja auch bezahlt werden.	die häufig preiswerter als Medikamente der Schulmedizin sind, die ja auch bezahlt werden.
micro_b035	a5	468	0.64868242	false	Die Kassen müssen befähigt werden, die Entscheidung des Arztes für eine Naturheilbehandlung anzuerkennen	und auch zu bezahlen.	Die Kassen müssen befähigt werden, die Entscheidung des Arztes für eine Naturheilbehandlung anzuerkennen und auch zu bezahlen.
micro_b036	a4	380	0.94739771	false	so z.B. Planungsfähigkeit, Reaktionsschnelligkeit und Kombinationsfähigkeit,	um nur einige zu nennen.	so z.B. Planungsfähigkeit, Reaktionsschnelligkeit und Kombinationsfähigkeit, um nur einige zu nennen.
micro_b038	a6	573	0.72396344	false	doch ist das, was an heutigen Schulen fehlt, eher der echte Gemeinschaftssinn,	der durch ein gleiches gemeinsames Auftreten unter Umständen gestärkt wird.	doch ist das, was an heutigen Schulen fehlt, eher der echte Gemeinschaftssinn, der durch ein gleiches gemeinsames Auftreten unter Umständen gestärkt wird.
micro_b039	a6	566	0.50231838	false	doch bringt politische Macht auch politische Verantwortung,	in diesem Fall die Verantwortung, das ukrainische Volk vor der zu starken Einflussnahme der beiden Großmächte zu schützen.	doch bringt politische Macht auch politische Verantwortung, in diesem Fall die Verantwortung, das ukrainische Volk vor der zu starken Einflussnahme der beiden Großmächte zu schützen.
micro_b040	a4	405	0.91522408	false	Außerdem sind die Strafen für öffentliches Urinieren eines Menschen höher als für das Liegenlassen eines Hundehaufens auf dem Gehsteig,	was unangemessen ist.	Außerdem sind die Strafen für öffentliches Urinieren eines Menschen höher als für das Liegenlassen eines Hundehaufens auf dem Gehsteig, was unangemessen ist.
micro_b040	a6	576	0.98156869	false	doch würde man dieser Logik folgen,	so wäre der steuerzahlende Bürger für kaum mehr ein Delikt zur Verantwortung zu ziehen.	doch würde man dieser Logik folgen, so wäre der steuerzahlende Bürger für kaum mehr ein Delikt zur Verantwortung zu ziehen.
micro_b041	a1	50	0.99476492	false	Geheimdienste müssen stärker kontrolliert werden,	um ein zu ausuferndes Überwachen zu verhindern.	Geheimdienste müssen stärker kontrolliert werden, um ein zu ausuferndes Überwachen zu verhindern.
micro_b041	a4	340	0.99365634	false	und müssen schon deshalb stark kontrolliert werden,	um Missbrauch zu verhindern.	und müssen schon deshalb stark kontrolliert werden, um Missbrauch zu verhindern.
micro_b042	a1	119	0.99904197	false	Der Staat darf ein medizinisches Produkt bzw. eine medizinische Behandlung nicht aus moralischen Gründen einschränken,	solange sie niemand anderen schädigt.	Der Staat darf ein medizinisches Produkt bzw. eine medizinische Behandlung nicht aus moralischen Gründen einschränken, solange sie niemand anderen schädigt.
micro_b042	a5	548	0.78456694	false	Ein leichterer Zugang zur Pille danach könnte außerdem dazu führen, dass sie als bequemerer Weg gegenüber anderen Verhütungsmethoden erscheint,	die gesundheitlich aber weniger Folgewirkungen haben.	Ein leichterer Zugang zur Pille danach könnte außerdem dazu führen, dass sie als bequemerer Weg gegenüber anderen Verhütungsmethoden erscheint, die gesundheitlich aber weniger Folgewirkungen haben.
micro_b042	a6	685	0.99550807	false	Beispielsweise könnte die Pille danach den Einsatz von Kondomen zurückgehen lassen	und so die Aidsneuansteckungen steigen lassen.	Beispielsweise könnte die Pille danach den Einsatz von Kondomen zurückgehen lassen und so die Aidsneuansteckungen steigen lassen.
micro_b044	a1	84	0.99129152	false	Berlin Tegel ist als zentrumsnaher Flughafen gerade für Geschäftsreisende attraktiv	und sollte unbedingt offen bleiben.	Berlin Tegel ist als zentrumsnaher Flughafen gerade für Geschäftsreisende attraktiv und sollte unbedingt offen bleiben.
micro_b045	a1	118	0.99631846	false	Durch den Ankauf von illegal erworbenen Steuerdaten von Bürgern macht sich der Staat selbst nicht nur zum Verbrecher,	sondern bezahlt auch noch Kriminelle.	Durch den Ankauf von illegal erworbenen Steuerdaten von Bürgern macht sich der Staat selbst nicht nur zum Verbrecher, sondern bezahlt auch noch Kriminelle.
micro_b049	a3	186	0.99635917	false	Wenn diese stärker gewichtet wird,	könnte das viele gute Einzelleistungen des Studiums stark überdecken.	Wenn diese stärker gewichtet wird, könnte das viele gute Einzelleistungen des Studiums stark überdecken.
micro_b054	a2	116	0.95013362	false	sodass eine Nutzung des Tempelhofer Feldes, das viel Freiraum bietet	und zurzeit kaum bebaut ist, als Wohnraum eine sinnvolle Idee ist.	sodass eine Nutzung des Tempelhofer Feldes, das viel Freiraum bietet und zurzeit kaum bebaut ist, als Wohnraum eine sinnvolle Idee ist.
micro_b054	a6	560	0.98611975	false	Wenn man einen Kompromiss aus Grünfläche und sozialem Wohnungsgebiet finden würde,	sollte das Tempelhofer Feld auf jeden Fall für den Wohnungsbau zur Verfügung stehen.	Wenn man einen Kompromiss aus Grünfläche und sozialem Wohnungsgebiet finden würde, sollte das Tempelhofer Feld auf jeden Fall für den Wohnungsbau zur Verfügung stehen.
micro_b055	a3	156	0.87108821	false	Aus medizinischer Sicht gesehen,	ist die „Pille danach“ am wirksamsten,	Aus medizinischer Sicht gesehen, ist die „Pille danach“ am wirksamsten, wenn sie möglichst schnell nach dem Verkehr eingenommen wird.
micro_b055	a3	195	0.98298866	false	ist die „Pille danach“ am wirksamsten,	wenn sie möglichst schnell nach dem Verkehr eingenommen wird.	Aus medizinischer Sicht gesehen, ist die „Pille danach“ am wirksamsten, wenn sie möglichst schnell nach dem Verkehr eingenommen wird.
micro_b055	a4	366	0.96030712	false	Wenn jedoch immer erst ein Gang zum Arzt (mit Fahr- und Wartezeiten, möglichem Schamgefühl, etc.) nötig ist,	führt dies zu mehr ungewollten Schwangerschaften.	Wenn jedoch immer erst ein Gang zum Arzt (mit Fahr- und Wartezeiten, möglichem Schamgefühl, etc.) nötig ist, führt dies zu mehr ungewollten Schwangerschaften.
micro_b055	a5	501	0.98683989	false	Viele Gegner der Pille führen jedoch an, dass damit die Beratung des Arztes wegfällt	und viele Frauen sie unnötig einnehmen.	Viele Gegner der Pille führen jedoch an, dass damit die Beratung des Arztes wegfällt und viele Frauen sie unnötig einnehmen.
micro_b055	a6	643	0.95741719	false	Allerdings ist es so, dass wir Apotheker gesetzlich dazu verpflichtet sind, die Patienten aufzuklären	und dasselbe Fachwissen besitzen, wie Ärzte.	Allerdings ist es so, dass wir Apotheker gesetzlich dazu verpflichtet sind, die Patienten aufzuklären und dasselbe Fachwissen besitzen, wie Ärzte.
micro_b056	a1	60	0.89820606	false	Der Bruch des Völkerrechts sollte wohl mehr als genug sein,	um über eine Reaktion nachzudenken!	Der Bruch des Völkerrechts sollte wohl mehr als genug sein, um über eine Reaktion nachzudenken!
micro_b056	a2	157	0.99776185	false	Die Menschheit hat in ihrer Geschichte genug Fehler gemacht,	indem sie zulange gewartet hat	Die Menschheit hat in ihrer Geschichte genug Fehler gemacht, indem sie zulange gewartet hat und als sie dann reagierte, blieb meist nur noch der Krieg.
micro_b056	a2	188	0.99366355	false	indem sie zulange gewartet hat	und als sie dann reagierte,	Die Menschheit hat in ihrer Geschichte genug Fehler gemacht, indem sie zulange gewartet hat und als sie dann reagierte, blieb meist nur noch der Krieg.
