doc_id	adu_id	char_offset	boundary_probability	after_terminal_punctuation	left_candidate_segment	right_candidate_segment	adu_text
micro_b056	a2	216	0.94923347	false	und als sie dann reagierte,	blieb meist nur noch der Krieg.	Die Menschheit hat in ihrer Geschichte genug Fehler gemacht, indem sie zulange gewartet hat und als sie dann reagierte, blieb meist nur noch der Krieg.
micro_b057	a1	51	0.54200900	false	Mit 63 in Rente, das hat sich wohl jeder verdient,	der bis hierhin (ununterbrochen) geschuftet hat.	Mit 63 in Rente, das hat sich wohl jeder verdient, der bis hierhin (ununterbrochen) geschuftet hat.
micro_b057	a2	168	0.98842001	false	"Nur bleibt die Frage, ob es mit der frühen ""Freizeit"" schöner wird,"	wenn man nicht weiß, was man den ganzen Tag machen soll	"Nur bleibt die Frage, ob es mit der frühen ""Freizeit"" schöner wird, wenn man nicht weiß, was man den ganzen Tag machen soll und statistisch noch knapp 20 (!!!) Jahre zu leben hat?"
micro_b057	a2	224	0.96765018	false	wenn man nicht weiß, was man den ganzen Tag machen soll	und statistisch noch knapp 20 (!!!) Jahre zu leben hat?	"Nur bleibt die Frage, ob es mit der frühen ""Freizeit"" schöner wird, wenn man nicht weiß, was man den ganzen Tag machen soll und statistisch noch knapp 20 (!!!) Jahre zu leben hat?"
micro_b057	a3	344	0.99324811	false	Auch übernimmt man so keine Verantwortung für die Gesellschaft,	wenn man aus persönlichen/privaten Gründen seine erfahrene, gesunde und qualitativ hochwertige Arbeitsfähigkeit früher als nötig aufgibt.	Auch übernimmt man so keine Verantwortung für die Gesellschaft, wenn man aus persönlichen/privaten Gründen seine erfahrene, gesunde und qualitativ hochwertige Arbeitsfähigkeit früher als nötig aufgibt.
micro_b057	a4	496	0.56440175	false	Gerade jetzt,	da Fachkräftemängel auftreten,	Gerade jetzt, da Fachkräftemängel auftreten, ist es unverantwortlich für die Wirtschaft und den Wohlstand mit 63 in Rente zu gehen.
micro_b057	a4	527	0.72562915	false	da Fachkräftemängel auftreten,	ist es unverantwortlich für die Wirtschaft und den Wohlstand mit 63 in Rente zu gehen.	Gerade jetzt, da Fachkräftemängel auftreten, ist es unverantwortlich für die Wirtschaft und den Wohlstand mit 63 in Rente zu gehen.
micro_b058	a4	336	0.99216276	false	aber auch für aktuelle olympische Disziplinen,	ich erinnere mich zuletzt an Curling oder 50 km Ski-Langlauf,	aber auch für aktuelle olympische Disziplinen, ich erinnere mich zuletzt an Curling oder 50 km Ski-Langlauf, muss man mehr als ein Freak sein, sich das länger als in der Zusammenfassung reinzuziehen.
micro_b058	a4	398	0.98839092	false	ich erinnere mich zuletzt an Curling oder 50 km Ski-Langlauf,	muss man mehr als ein Freak sein, sich das länger als in der Zusammenfassung reinzuziehen.	aber auch für aktuelle olympische Disziplinen, ich erinnere mich zuletzt an Curling oder 50 km Ski-Langlauf, muss man mehr als ein Freak sein, sich das länger als in der Zusammenfassung reinzuziehen.
micro_b058	a6	596	0.98697388	false	braucht es ja nicht mal Dopingkontrollen,	sondern nur eine neutrale Konsole.	braucht es ja nicht mal Dopingkontrollen, sondern nur eine neutrale Konsole.
micro_b058	a7	726	0.99284512	false	Und körperliche, geistige und insbesondere mentale Fähigkeiten verlangt so manches Videospiel,	wenn ich an das Finale des letzten Fifa-Turniers denke, mehr ab, als eine Kugel 20 Meter weit zu stoßen.	Und körperliche, geistige und insbesondere mentale Fähigkeiten verlangt so manches Videospiel, wenn ich an das Finale des letzten Fifa-Turniers denke, mehr ab, als eine Kugel 20 Meter weit zu stoßen.
micro_b061	a1	49	0.98894203	false	Höhere Geldstrafen für Hundehaufen sind sinnlos,	solange es nicht genügend Personal gibt,	Höhere Geldstrafen für Hundehaufen sind sinnlos, solange es nicht genügend Personal gibt, um sie durchzusetzen.
micro_b061	a1	90	0.79056948	false	solange es nicht genügend Personal gibt,	um sie durchzusetzen.	Höhere Geldstrafen für Hundehaufen sind sinnlos, solange es nicht genügend Personal gibt, um sie durchzusetzen.
micro_b062	a5	391	0.99553949	false	Das schädigt den Standort Deutschland	und hinterlässt die Arbeitgeber ohne Übergangsfrist.	Das schädigt den Standort Deutschland und hinterlässt die Arbeitgeber ohne Übergangsfrist.
micro_d02	a3	173	0.99930966	false	Trauriger Höhepunkt:	Im ausverkauften Stadion 60:87 gegen schwächelnde Mannheimer verlieren.	Trauriger Höhepunkt: Im ausverkauften Stadion 60:87 gegen schwächelnde Mannheimer verlieren.
micro_d03	a2	103	0.96317774	false	Er ist einfach kein Teamspieler,	macht häufig Alleingänge.	Er ist einfach kein Teamspieler, macht häufig Alleingänge.
micro_d04	a5	354	0.99655789	false	Aber ist für einen neuen Virus ein Schutz gefunden,	erhalten ihn alle in Windeseile mit dem automatischen Update.	Aber ist für einen neuen Virus ein Schutz gefunden, erhalten ihn alle in Windeseile mit dem automatischen Update.
micro_d06	a5	223	0.56653416	false	aber das hilft auch nichts	wenn das ganze Viertel den Bach runter geht.	aber das hilft auch nichts wenn das ganze Viertel den Bach runter geht.
micro_d08	a3	164	0.99804807	false	solltest du IBM Aktien kaufen,	wenn du investieren willst.	solltest du IBM Aktien kaufen, wenn du investieren willst.
micro_d09	a4	121	0.56065440	false	Eine Ausnahme wäre es,	wenn du nur Quizshows sehen würdest,	Eine Ausnahme wäre es, wenn du nur Quizshows sehen würdest,
micro_d13	a1	57	0.99578047	false	Wann immer Peter auf einer Party eine Exfreundin trifft,	verzichtet er vorsichtshalber auf weiteren Alkoholkonsum.	Wann immer Peter auf einer Party eine Exfreundin trifft, verzichtet er vorsichtshalber auf weiteren Alkoholkonsum.
micro_d13	a2	155	0.96128553	false	Als er gestern von Ralfs Party heimkam,	war er immer noch stocknüchtern.	Als er gestern von Ralfs Party heimkam, war er immer noch stocknüchtern.
micro_d13	a4	268	0.62655789	false	Zwar behauptet Ralf,	dass sie gemeinsam Eierlikör getrunken hätten.	Zwar behauptet Ralf, dass sie gemeinsam Eierlikör getrunken hätten.
micro_d14	a5	347	0.82300049	false	Gestern, als uns die Türsteher erst nicht reinlassen wollten,	da war er auch ganz plötzlich weg.	Gestern, als uns die Türsteher erst nicht reinlassen wollten, da war er auch ganz plötzlich weg.
micro_d23	a3	179	0.51644135	false	Aber ich will diesen unglaublichen Moment der Freiheit spüren,	von dem Springer immer wieder berichten.	Aber ich will diesen unglaublichen Moment der Freiheit spüren, von dem Springer immer wieder berichten.
micro_k001	a6	458	0.99899739	false	Doch solange die Gebührenzahler keinen Einfluss auf die Verteilung der Gelder haben,	verärgert sie der Beitrag zu Recht.	Doch solange die Gebührenzahler keinen Einfluss auf die Verteilung der Gelder haben, verärgert sie der Beitrag zu Recht.
micro_k002	a1	34	0.84747267	false	Im Grunde wäre es gerechtfertigt,	wenn alle Universitäten in Deutschland Studiengebühren verlangen würden.	Im Grunde wäre es gerechtfertigt, wenn alle Universitäten in Deutschland Studiengebühren verlangen würden.
micro_k002	a2	197	0.84425628	false	Solange sichergestellt wird, dass das Geld wirklich direkt den Universitäten zugutekommt,	kann durchaus weiterhin von sozialer Gerechtigkeit gesprochen werden.	Solange sichergestellt wird, dass das Geld wirklich direkt den Universitäten zugutekommt, kann durchaus weiterhin von sozialer Gerechtigkeit gesprochen werden.
micro_k002	a4	399	0.84949410	false	Es ist jederzeit möglich, einen Studienkredit aufzunehmen	oder sich ein Stipendium zu erarbeiten.	Es ist jederzeit möglich, einen Studienkredit aufzunehmen oder sich ein Stipendium zu erarbeiten.
micro_k004	a5	566	0.94808900	false	Viele europäische Länder, beispielsweise die Niederlande, Schweden oder Großbritannien, haben das bereits erkannt	und die Öffnungszeiten der Geschäfte erfolgreich angepasst.	Viele europäische Länder, beispielsweise die Niederlande, Schweden oder Großbritannien, haben das bereits erkannt und die Öffnungszeiten der Geschäfte erfolgreich angepasst.
micro_k006	a1	50	0.98555827	false	Wenn Deutschland die Todesstrafe einführen würde,	könnten verurteilte Verbrecher nicht vorzeitig entlassen werden	Wenn Deutschland die Todesstrafe einführen würde, könnten verurteilte Verbrecher nicht vorzeitig entlassen werden oder ausbrechen und neue Straftaten begehen.
micro_k006	a1	114	0.84421515	false	könnten verurteilte Verbrecher nicht vorzeitig entlassen werden	oder ausbrechen	Wenn Deutschland die Todesstrafe einführen würde, könnten verurteilte Verbrecher nicht vorzeitig entlassen werden oder ausbrechen und neue Straftaten begehen.
micro_k006	a1	130	0.97575915	false	oder ausbrechen	und neue Straftaten begehen.	Wenn Deutschland die Todesstrafe einführen würde, könnten verurteilte Verbrecher nicht vorzeitig entlassen werden oder ausbrechen und neue Straftaten begehen.
micro_k008	a1	83	0.98687243	false	Wenn es höhere Geldstrafen für auf Gehwegen hinterlassene Hundehaufen geben würde,	würde es vermutlich weniger Hundehaufen geben,	Wenn es höhere Geldstrafen für auf Gehwegen hinterlassene Hundehaufen geben würde, würde es vermutlich weniger Hundehaufen geben,
micro_k009	a2	88	0.96765655	false	Gäbe es eine Todesstrafe,	würde das bedeuten, dass es Menschen erlaubt werden soll, sich über andere zu stellen	Gäbe es eine Todesstrafe, würde das bedeuten, dass es Menschen erlaubt werden soll, sich über andere zu stellen und über deren Leben zu entscheiden.
micro_k009	a2	174	0.84745449	false	würde das bedeuten, dass es Menschen erlaubt werden soll, sich über andere zu stellen	und über deren Leben zu entscheiden.	Gäbe es eine Todesstrafe, würde das bedeuten, dass es Menschen erlaubt werden soll, sich über andere zu stellen und über deren Leben zu entscheiden.
micro_k009	a3	249	0.96804672	false	Die Todesstrafe auszuführen wäre Mord	und müsste ebenfalls mit der Todesstrafe bestraft werden.	Die Todesstrafe auszuführen wäre Mord und müsste ebenfalls mit der Todesstrafe bestraft werden.
micro_k009	a4	422	0.52524102	false	Was aber ist mit Straftätern, die wirklich schlimme Verbrechen begangen haben, wie etwa Mord oder Vergewaltigung -	soll es diesen einfach erlaubt sein, weiterzuleben,	Was aber ist mit Straftätern, die wirklich schlimme Verbrechen begangen haben, wie etwa Mord oder Vergewaltigung - soll es diesen einfach erlaubt sein, weiterzuleben,
micro_k009	a6	537	0.88034487	false	Ja,	denn es ist eine sehr viel schlimmere Strafe, für immer im Gefängnis zu sein	Ja, denn es ist eine sehr viel schlimmere Strafe, für immer im Gefängnis zu sein und von den eigenen Gedanken gequält zu werden, als schnell und einfach durch eine Injektion getötet zu werden.
micro_k009	a6	614	0.67762899	false	denn es ist eine sehr viel schlimmere Strafe, für immer im Gefängnis zu sein	und von den eigenen Gedanken gequält zu werden, als schnell und einfach durch eine Injektion getötet zu werden.	Ja, denn es ist eine sehr viel schlimmere Strafe, für immer im Gefängnis zu sein und von den eigenen Gedanken gequält zu werden, als schnell und einfach durch eine Injektion getötet zu werden.
micro_k010	a2	223	0.98901856	false	Teilweise laufen nur Sendungen für die ältere Generation zu Spielfilmzeiten,	wieso sollten also alle dafür zahlen?	Teilweise laufen nur Sendungen für die ältere Generation zu Spielfilmzeiten, wieso sollten also alle dafür zahlen?
micro_k010	a5	511	0.98995984	false	Trotzdem muss man sagen, dass es dann wahrscheinlich viel weniger dieser Sender gibt,	wenn nicht mehr ganz Deutschland zahlen muss.	Trotzdem muss man sagen, dass es dann wahrscheinlich viel weniger dieser Sender gibt, wenn nicht mehr ganz Deutschland zahlen muss.
micro_k011	a1	75	0.99438101	false	Mietpreiserhöhungen bei einer Neuvermietung sind an sich nicht so schlimm,	wenn es sich nur um einen kleinen Betrag handelt,	Mietpreiserhöhungen bei einer Neuvermietung sind an sich nicht so schlimm, wenn es sich nur um einen kleinen Betrag handelt,
micro_k011	a2	150	0.90788299	false	sehr schlimm allerdings,	wenn die Miete auf einmal 100,- bis 200,-€ steigt.	sehr schlimm allerdings, wenn die Miete auf einmal 100,- bis 200,-€ steigt.
micro_k011	a4	340	0.99352759	false	Wenn es schon Mietpreiserhöhungen gibt,	dann soll es also auch eine Beschränkung geben,	Wenn es schon Mietpreiserhöhungen gibt, dann soll es also auch eine Beschränkung geben, um bösen Überraschungen vorzubeugen.
micro_k011	a4	388	0.99769008	false	dann soll es also auch eine Beschränkung geben,	um bösen Überraschungen vorzubeugen.	Wenn es schon Mietpreiserhöhungen gibt, dann soll es also auch eine Beschränkung geben, um bösen Überraschungen vorzubeugen.
micro_k012	a3	346	0.98633528	false	Auch ohne Studiengebühren muss jeder zweite während des Studierens arbeiten	und hat so weniger Zeit für das Lernen und die Freizeit.	Auch ohne Studiengebühren muss jeder zweite während des Studierens arbeiten und hat so weniger Zeit für das Lernen und die Freizeit.
micro_k012	a5	579	0.98725557	false	Doch was bringt eine wunderbar ausgestattete Universität,	wenn sie dem Großteil der schlauen Menschen gar keine Chance gibt, mit der tollen Ausstattung ihren Horizont zu erweitern?	Doch was bringt eine wunderbar ausgestattete Universität, wenn sie dem Großteil der schlauen Menschen gar keine Chance gibt, mit der tollen Ausstattung ihren Horizont zu erweitern?
micro_k013	a2	173	0.99921679	false	Ebenso sollen Feiertage das bleiben, was sie sind:	für die Einen Tage der Einkehr,	Ebenso sollen Feiertage das bleiben, was sie sind: für die Einen Tage der Einkehr, für die anderen bezahlter Urlaub, die nicht vom eigentlichen Urlaub abgehen.
micro_k013	a2	205	0.99458390	false	für die Einen Tage der Einkehr,	für die anderen bezahlter Urlaub,	Ebenso sollen Feiertage das bleiben, was sie sind: für die Einen Tage der Einkehr, für die anderen bezahlter Urlaub, die nicht vom eigentlichen Urlaub abgehen.
micro_k013	a2	239	0.96810782	false	für die anderen bezahlter Urlaub,	die nicht vom eigentlichen Urlaub abgehen.	Ebenso sollen Feiertage das bleiben, was sie sind: für die Einen Tage der Einkehr, für die anderen bezahlter Urlaub, die nicht vom eigentlichen Urlaub abgehen.
micro_k013	a3	299	0.72728610	false	Also ist es gut,	wenn die Geschäfte an Sonn- und Feiertagen nicht öffnen.	Also ist es gut, wenn die Geschäfte an Sonn- und Feiertagen nicht öffnen.
micro_k013	a4	451	0.99942112	false	Menschen, die jedoch unter der Woche und Samstags arbeiten, haben dann allerdings ein Problem:	alle anderen können werktags einkaufen gehen,	Menschen, die jedoch unter der Woche und Samstags arbeiten, haben dann allerdings ein Problem: alle anderen können werktags einkaufen gehen, sie jedoch nicht.
micro_k013	a4	497	0.89080137	false	alle anderen können werktags einkaufen gehen,	sie jedoch nicht.	Menschen, die jedoch unter der Woche und Samstags arbeiten, haben dann allerdings ein Problem: alle anderen können werktags einkaufen gehen, sie jedoch nicht.
micro_k014	a2	116	0.78053921	false	denn wie der jüngste NSA-Abhörskandal gezeigt hat,	ist die Landesregierung vermeintlich nicht immer mit den Tätigkeitsbereichen seiner Nachrichtendienste vertraut.	denn wie der jüngste NSA-Abhörskandal gezeigt hat, ist die Landesregierung vermeintlich nicht immer mit den Tätigkeitsbereichen seiner Nachrichtendienste vertraut.
micro_k020	a4	219	0.57021934	false	Der Staat soll Morde verhindern	- nicht rächen.	Der Staat soll Morde verhindern - nicht rächen.
micro_k022	a5	287	0.66783345	false	sonst wird sich eine neue Freizeitart bilden,	in der die Menschen die Zeit in Supermärkten anstatt draußen oder beim gemeinsamen Gesprächen usw. verbringen.	sonst wird sich eine neue Freizeitart bilden, in der die Menschen die Zeit in Supermärkten anstatt draußen oder beim gemeinsamen Gesprächen usw. verbringen.
micro_k023	a1	54	0.98750907	false	Die BA-Arbeit soll, wenn nicht die Gesamtnote bilden,	dann mindestens einen größeren Anteil daran haben.	Die BA-Arbeit soll, wenn nicht die Gesamtnote bilden, dann mindestens einen größeren Anteil daran haben.
micro_k027	a2	203	0.99122822	false	Schließlich gibt es viele Menschen in Deutschland, die die Beitrage bezahlen,	obwohl sie lediglich einen Rechner zum Arbeiten verwenden.	Schließlich gibt es viele Menschen in Deutschland, die die Beitrage bezahlen, obwohl sie lediglich einen Rechner zum Arbeiten verwenden.
micro_k029	a3	295	0.92916650	false	dennoch sollten Frauen vor der Einnahme über die Risiken aufgeklärt werden	und gynäkologisch untersucht werden.	dennoch sollten Frauen vor der Einnahme über die Risiken aufgeklärt werden und gynäkologisch untersucht werden.
micro_k031	a6	395	0.56100094	false	Eine hundehaufenfreie Stadt wird nicht nur für die Bewohner,	sondern auch für Touristen viel attraktiver sein!	Eine hundehaufenfreie Stadt wird nicht nur für die Bewohner, sondern auch für Touristen viel attraktiver sein!
